,artists,genres
139,8Ball & MJG,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']"
140,9 Days Wonder,[]
141,904TEZZO,[]
142,90sFlav,[]
143,93FEETOFSMOKE,"['dark trap', 'emo rap', 'underground hip hop']"
144,94 East,['minneapolis sound']
145,98º,"['boy band', 'dance pop']"
146,99 Neighbors,[]
147,99 Percent,[]
148,999,"['oi', 'pub rock', 'punk']"
149,9lokknine,"['florida rap', 'vapor trap']"
150,9tails,['emo rap']
151,9th Wonder,"['alternative hip hop', 'hip hop', 'nc hip hop']"
152,? & The Mysterians,"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
153,?uestlove,['philly rap']
154,A,"['dance pop', 'pop', 'post-teen pop']"
155,A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']"
156,A Certain Ratio,"['dance rock', 'dance-punk', 'experimental', 'new wave', 'no wave', 'post-punk', 'uk post-punk']"
157,A Change of Pace,"['neon pop punk', 'pop emo', 'pop punk', 'screamo']"
158,A Day To Remember,"['metalcore', 'pop punk', 'screamo']"
159,A Fine Frenzy,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']"
160,A Flock Of Seagulls,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
161,A Foot In Coldwater,[]
162,A Great Big World,"['indiecoustica', 'neo mellow', 'piano rock', 'pop rock']"
163,A Guy Called Gerald,"['acid house', 'atmospheric dnb', 'drum and bass', 'madchester', 'techno']"
164,A Heart Beats,"['doo-wop', 'rhythm and blues']"
165,A Jam Session At Victor,[]
166,A L E X,"['chillhop', 'lo-fi beats']"
167,A Perfect Circle,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock', 'supergroup']"
168,A R I Z O N A,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']"
169,A Rocket To The Moon,"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock']"
170,A Skylit Drive,"['metalcore', 'pixie', 'post-screamo', 'screamo']"
171,A Static Lullaby,"['melodic metalcore', 'post-hardcore', 'screamo']"
172,A Taste Of Honey,"['boogie', 'disco', 'funk', 'post-disco']"
173,A Thousand Horses,"['contemporary country', 'country pop', 'modern country rock']"
174,A Touch Of Class,"['bubblegum dance', 'europop']"
175,A Tree Grows in Brooklyn Ensemble,[]
176,A Tree Grows in Brooklyn Orchestra,[]
177,A Tribe Called Quest,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']"
178,A Tribe Called Red,"['canadian indigenous', 'escape room', 'native american hip hop', 'ottawa rap']"
179,A Winged Victory for the Sullen,"['ambient', 'chamber psych', 'compositional ambient', 'drift', 'drone', 'focus', 'neo-classical', 'post-rock', 'warm drone']"
180,A$AP ANT,"['baltimore hip hop', 'drill', 'underground hip hop', 'vapor trap']"
181,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
182,A$AP Mob,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
183,A$AP NAST,['harlem hip hop']
184,A$AP Rocky,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
185,A$AP Twelvyy,"['hip hop', 'rap', 'underground hip hop']"
186,A*M*E,['reggae']
187,A*Teens,"['bubblegum dance', 'dance pop', 'europop']"
188,A-Lin,"['anthem worship', 'canadian ccm', 'ccm']"
189,A-Mei Chang,"['c-pop', 'mandopop']"
190,A-Trak,"['banda', 'grupera', 'regional mexican']"
191,A. Caminha,[]
192,A. Jaziukevičius,['lithuanian folk']
193,A. L. Lloyd,"['broadway', 'show tunes', 'west end']"
194,A. Likiardopoulou,[]
195,A. M. Rajah,"['deep indian pop', 'filmi']"
196,A. Manetta,[]
197,A. Merangulian,[]
198,A. Merangulian with folk instrumental ensemble,[]
199,A. P. Komala,[]
200,A. R. Ojha,[]
201,A. R. Oza,[]
202,A. R. Qureshi,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']"
203,A. Xatzixristos,[]
204,A.B. Quintanilla III,[]
205,A.B. Quintanilla III Y Los Kumbia Kings,[]
206,A.C. Reed,"['blues', 'chicago blues', 'electric blues', 'soul blues']"
207,A.C. Smyth,[]
208,A.CHAL,['trap soul']
209,A.G.,[]
210,A.J. Croce,[]
211,A.Loraarrero,[]
212,A.R. Kane,"['dream pop', 'shoegaze']"
213,A.R. Rahman,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
214,A.l.t.,[]
215,A2M,[]
216,A7S,[]
217,ABBA,"['europop', 'swedish pop']"
218,ABC,[]
219,ABN,"['dirty south rap', 'gangster rap', 'houston rap']"
220,ABSRDST,['hyperpop']
221,AC/DC,"['album rock', 'australian rock', 'hard rock', 'rock']"
222,ACOT,['meme rap']
223,AFI,"['alternative metal', 'emo', 'modern rock', 'pop punk', 'punk', 'screamo', 'skate punk']"
224,AJ Meijer,[]
225,AJ Michalka,[]
226,AJ Mitchell,"['pop', 'post-teen pop', 'social media pop']"
227,AJ Rafael,"['opm', 'pinoy indie', 'viral pop']"
228,AJ Tracey,"['grime', 'uk hip hop', 'ukg revival']"
229,AJJ,"['acoustic punk', 'anti-folk', 'folk punk', 'indie rock']"
230,AJR,"['modern rock', 'pop rock']"
231,AL-X The Great,['meme rap']
