,artists,genres
12188,Josef K,['orchestral performance']
12189,Josef Krips,['orchestral performance']
12190,Josef Kugler,[]
12191,Josef Křikava,[]
12192,Josef Lhevinne,['historic piano performance']
12193,Josef Metternich,['classical baritone']
12194,Josef Michálek,[]
12195,Josef Mysliveček,['classical era']
12196,Josef Salvat,['gauze pop']
12197,Josef Strauss,[]
12198,Josef Toman,[]
12199,Josef Traxel,[]
12200,Josef Venclů se svým orchestrem,[]
12201,Josef Vojta,[]
12202,Josef Witt,[]
12203,Josep Alba,"['background music', 'calming instrumental']"
12204,Joseph,[]
12205,Joseph Achron,[]
12206,Joseph Arthur,[]
12207,Joseph Banowetz,[]
12208,Joseph Barnby,"['anglican liturgy', 'victorian britain']"
12209,Joseph Black,[]
12210,Joseph Boulle,[]
12211,Joseph Buloff,[]
12212,Joseph Canteloube,"['early modern classical', 'post-romantic era']"
12213,Joseph Fire Crow,"['native american', 'native american flute']"
12214,Joseph Fuchs,[]
12215,Joseph Garlington,['classic praise']
12216,Joseph Gershenson conductin the Universal International Orch.,[]
12217,Joseph Gershenson conducting The Universal international Orch.,[]
12218,Joseph Joachim,['late romantic era']
12219,Joseph Kalichstein,[]
12220,Joseph Keilberth,['historic orchestral performance']
12221,Joseph Kosma,[]
12222,Joseph Koziel,[]
12223,Joseph Lamb,"['american modern classical', 'ragtime']"
12224,Joseph Roisman,[]
12225,Joseph Stafford,[]
12226,Joseph Stewart,[]
12227,Joseph Szigeti,"['historic classical performance', 'violin']"
12228,Joseph Vincent,"['pop', 'viral pop']"
12229,Joseph Williams,"['disney', 'movie tunes']"
12230,Joseph Wong,[]
12231,Joseph-Hector Fiocco,['galante era']
12232,Josephine Chang,[]
12233,Josephine Premice,[]
12234,Josey Scott,[]
12235,Josey Wales,"['deep ragga', 'old school dancehall', 'roots reggae']"
12236,Joseíto Martínez,[]
12237,Josh A,"['emo rap', 'meme rap', 'pop rap']"
12238,Josh Abbott Band,"['contemporary country', 'country road', 'modern country rock', 'red dirt', 'texas country']"
12239,Josh Abrahams,[]
12240,Josh Baldwin,"['anthem worship', 'ccm', 'deep ccm', 'world worship']"
12241,Josh Gad,"['hollywood', 'movie tunes', 'show tunes']"
12242,Josh Garrels,"['acoustic pop', 'anthem worship', 'ccm', 'christian indie', 'christian uplift', 'indiecoustica', 'indy indie', 'neo mellow', 'roots worship', 'stomp and holler', 'worship']"
12243,Josh Gracin,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
12244,Josh Groban,['operatic pop']
12245,Josh Heinrichs,"['jawaiian', 'reggae rock']"
12246,Josh Hodges,['indie garage rock']
12247,Josh Homme,[]
12248,Josh Kelley,"['acoustic pop', 'neo mellow', 'pop rock']"
12249,Josh Milan,[]
12250,Josh Richards,['social media pop']
12251,Josh Ritter,"['acoustic pop', 'alternative country', 'deep new americana', 'folk', 'indie folk', 'modern folk rock', 'neo mellow', 'new americana', 'progressive bluegrass', 'roots rock', 'stomp and holler']"
12252,Josh Rouse,['alternative country']
12253,Josh Thompson,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']"
12254,Josh Turner,"['contemporary country', 'country', 'country road', 'modern country rock']"
12255,Josh WaWa White,"['jawaiian', 'polynesian pop']"
12256,Josh Ward,"['red dirt', 'texas country']"
12257,Josh White,"['jawaiian', 'polynesian pop']"
12258,Josh Wilson,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'worship']"
12259,Josh Woods,[]
12260,Joshua Bassett,['social media pop']
12261,Joshua Bell,"['bow pop', 'classical', 'classical performance', 'violin']"
12262,Joshua Kadison,[]
12263,Joshua Mostel,[]
12264,Joshua Radin,"['acoustic pop', 'indie folk', 'indiecoustica', 'neo mellow', 'pop rock', 'viral pop']"
12265,Josie Dunne,['indiecoustica']
12266,Josie and the Pussycats,[]
12267,Josie de Guzman,['broadway']
12268,Joss Favela,['regional mexican pop']
12269,Joss Stone,"['british soul', 'neo soul', 'pop rock']"
12270,Jossie Esteban,"['dominican pop', 'merengue', 'tropical']"
12271,Jossie Esteban & La Patrulla 15,['merengue']
12272,Jossie Esteban y La Patrulla 15,['merengue']
12273,Jost Michaels,[]
12274,José Alfredo Jimenez,"['bolero', 'grupera', 'mariachi', 'ranchera']"
12275,José Bohr,[]
12276,José Carreras,"['classical tenor', 'opera', 'operatic pop']"
12277,José De Trévi,[]
12278,José Feliciano,"['bolero', 'latin pop', 'pop romantico', 'puerto rican pop']"
12279,José González,"['gothenburg indie', 'indie folk', 'neo mellow', 'stomp and holler', 'swedish indie folk', 'swedish indie pop', 'swedish singer-songwriter']"
12280,José Guadalupe Esparza,[]
12281,José Jackson Veyán,[]
12282,José José,"['banda', 'grupera', 'norteno', 'regional mexican']"
12283,José Luis Perales,"['bolero', 'cancion melodica', 'latin', 'latin pop']"
12284,José Luis Rodríguez,"['bolero', 'cancion melodica', 'latin pop', 'pop romantico']"
12285,José Manuel Zamacona,[]
12286,José Maria Napoleón,"['bolero', 'grupera', 'latin', 'latin pop', 'ranchera']"
12287,José Marín,['spanish baroque']
12288,José Moriche,[]
12289,José Morán Orquesta,[]
12290,José Ramón,[]
12291,José Segarra con Julio Murillo,[]
12292,José Serebrier,['orchestral performance']
12293,José Velez,"['cancion melodica', 'pop romantico']"
12294,José van Dam,"['classical bass', 'classical performance', 'opera']"
12295,José-Luis Garcia,['salsa venezolana']
12296,Joséphine Baker,['cabaret']
12297,Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
12298,Journeyman - Nick DePalma,[]
12299,Jovanny Cadena Y Su Estilo Privado,"['corridos tumbados', 'regional mexican pop']"
12300,Jowell,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'tropical']"
12301,Jowell & Randy,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'tropical']"
12302,Joy Again,"['indie garage rock', 'indie pop']"
12303,Joy Division,"['alternative rock', 'dance rock', 'madchester', 'new wave', 'post-punk', 'rock', 'uk post-punk']"
12304,Joy Williams,"['acoustic pop', 'christian indie', 'indie folk', 'indiecoustica', 'nashville americana', 'nashville singer-songwriter', 'neo mellow', 'new americana']"
12305,Joya Landis,"['early reggae', 'rock steady']"
12306,Joyce,"['alternative emo', 'emo', 'indie garage rock', 'indie punk', 'indie rock', 'pop punk']"
12307,Joyce Cooling,"['jazz guitar', 'smooth jazz']"
12308,Joyce Kennedy,[]
12309,Joyce Manor,"['alternative emo', 'emo', 'indie garage rock', 'indie punk', 'indie rock', 'pop punk']"
12310,Joyce Reynolds,[]
12311,Joyner Lucas,"['boston hip hop', 'hip hop', 'pop rap', 'rap']"
12312,Joyo Velarde,[]
12313,Joywave,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rochester ny indie', 'rock', 'shimmer pop']"
12314,Jozef Kopelman,[]
12315,Jozsef Vajda,[]
12316,João Bosco,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
12317,João Correia Da Silva,[]
12318,João Donato,"['bossa nova', 'brazilian jazz', 'mpb', 'piano mpb', 'samba']"
12319,João Gilberto,"['bossa nova', 'brazilian jazz', 'jazz guitar', 'mpb', 'samba', 'violao']"
12320,João Gilberto Quintet,[]
12321,João Petra de Barros,[]
12322,Jr.,['corridos tumbados']
12323,Jr. Walker & The All Stars,"['brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul', 'southern soul']"
12324,Juan Arvizu,[]
12325,Juan Carlos Alvarado,"['latin christian', 'latin worship']"
12326,Juan Carlos Baglietto,"['argentine rock', 'folklore argentino', 'nueva cancion', 'rock en espanol', 'rock nacional']"
12327,Juan Carlos Rybin,[]
12328,Juan D'Arienzo,"['orquesta tipica', 'tango', 'vintage tango']"
12329,Juan Echanove,[]
12330,Juan Gabriel,"['cancion melodica', 'latin', 'latin pop']"
12331,Juan Gotti,"['chicano rap', 'latin hip hop', 'mexican hip hop']"
12332,Juan Luis Guerra 4.40,"['bachata', 'latin', 'latin pop', 'salsa choke', 'tropical']"
12333,Juan Magán,"['dance pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'spanish pop', 'tropical']"
12334,Juan Oñatibia,[]
12335,Juan Parga,[]
12336,Juan Pons,['classical baritone']
12337,Juan Pulido,[]
12338,Juan Silos Jr. & Rondalla,['pinoy traditional']
12339,Juan Valentin,"['mariachi', 'ranchera']"
12340,Juan carlos mata,[]
12341,Juancho Rois,[]
12342,Juancito Diaz,[]
12343,Juanello,['mexican rock-and-roll']
12344,Juanes,"['colombian pop', 'cumbia', 'latin', 'latin pop', 'mexican pop', 'pop', 'rock en espanol', 'tropical']"
12345,Juanfran,[]
12346,Juanita Bynum,['gospel']
12347,Juanita Hall,[]
12348,Juanka,"['perreo', 'reggaeton', 'reggaeton flow']"
12349,Jubël,"['swedish pop', 'tropical house']"
12350,Juca Chaves,['brazilian soul']
12351,Juciy J,[]
12352,Judah,"['banjo', 'folk-pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']"
12353,Judah & the Lion,"['banjo', 'folk-pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']"
12354,Judas Priest,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'power metal', 'rock']"
12355,Jude Cole,['mellow gold']
12356,Judee Sill,"['art rock', 'folk', 'folk rock', 'singer-songwriter', 'traditional folk']"
12357,Judge,[]
12358,Judith Halász,[]
12359,Judith Hellwig,[]
12360,Judith Raskin,[]
12361,Judy Brackin,[]
12362,Judy Clay,"['memphis soul', 'southern soul']"
12363,Judy Collins,"['american folk revival', 'folk', 'folk rock', 'lilith', 'mellow gold', 'singer-songwriter', 'traditional folk']"
12364,Judy Garland,"['adult standards', 'lounge', 'torch song', 'vocal jazz']"
12365,Judy Henske,['american folk revival']
12366,Judy Holliday,[]
12367,Judy Kuhn,"['hollywood', 'movie tunes', 'show tunes']"
12368,Judy Lynn,[]
12369,Judy Santos,[]
12370,Judy Torres,['freestyle']
12371,Juelz Santana,"['gangster rap', 'harlem hip hop', 'hip hop', 'nyc rap', 'pop rap', 'rap', 'trap']"
12372,Juhn,"['latin', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']"
12373,Juhn Allstar,[]
12374,Juice Newton,"['classic country pop', 'country', 'country dawn', 'mellow gold', 'new wave pop', 'soft rock']"
12375,Juice WRLD,"['chicago rap', 'melodic rap']"
12376,"Juicy ""Low Down"" J",[]
12377,Juicy J,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
12378,Juilliard String Quartet,"['classical performance', 'string quartet']"
12379,Juju,[]
12380,Jukebox The Ghost,"['indie pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'piano rock', 'pop rock', 'stomp and holler']"
12381,Jukka Rautasalo,[]
12382,Jule Styne,[]
12383,Julee Cruise,"['art pop', 'art rock']"
12384,Jules Massenet,"['classical', 'french opera', 'post-romantic era']"
12385,Jules Rubin,[]
12386,Julia Cload,[]
12387,Julia Deal,['navajo']
12388,Julia Faulkner,[]
12389,Julia Fordham,['new wave pop']
12390,Julia Harriman,[]
12391,Julia Krasko,[]
12392,Julia Lee & Her Boyfriends,[]
12393,Julia Lester,[]
12394,Julia Michaels,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
12395,Julia Migenes,[]
12396,Julia Sheer,"['channel pop', 'viral pop']"
12397,Julian Bream,['classical guitar']
12398,Julian Casablancas,"['indie rock', 'modern rock']"
12399,Julian Cope,"['art rock', 'dance rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'uk post-punk']"
12400,Julian Dash,['jazz saxophone']
12401,Julian Davidson,[]
12402,Julian Emery,[]
12403,Julian Lennon,"['beatlesque', 'new wave pop']"
12404,Julian Lloyd Webber,['classical cello']
12405,Julian Marley,"['modern reggae', 'reggae', 'roots reggae']"
12406,Julian Whiterose,['calypso']
12407,Juliana Larson,[]
12408,Juliander,['swedish pop']
12409,Juliane Werding,"['classic schlager', 'german country', 'german pop', 'schlager']"
12410,Julie Andrews,"['hollywood', 'movie tunes', 'show tunes']"
12411,Julie Bergan,"['norwegian pop', 'swedish pop', 'tropical house']"
12412,Julie Brown,"['novelty', 'parody']"
12413,Julie Dawn Cole,[]
12414,Julie Foldesi,[]
12415,Julie Fowlis,"['celtic', 'movie tunes', 'scottish folk']"
12416,Julie London,"['adult standards', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']"
12417,Julie Roberts,"['contemporary country', 'country', 'country dawn']"
12418,Julie Sue,"['c-pop', 'classic cantopop', 'classic mandopop', 'hokkien pop', 'vintage chinese pop']"
12419,Julie Walters,['hollywood']
12420,Julien,"['ambient folk', 'art pop', 'indie folk', 'indie pop', 'indie rock']"
12421,Julien Clerc,"['chanson', 'french pop']"
12422,Julieta Venegas,"['latin', 'latin alternative', 'latin pop', 'latin rock', 'pop', 'rock en espanol']"
12423,Julio Chaidez,"['banda', 'corrido', 'deep regional mexican', 'duranguense', 'grupera', 'norteno', 'regional mexican', 'regional mexican pop']"
12424,Julio Iglesias,"['latin', 'latin pop']"
12425,Julio Jaramillo,"['bolero', 'ecuadorian pop', 'folklore ecuatoriano', 'ranchera']"
12426,Julio Martinez Oyanguren,['classical guitar']
12427,Julio Melgar,"['latin christian', 'latin worship']"
12428,Julio Preciado Y Su Banda Perla Del Pacifico,"['banda', 'grupera', 'norteno', 'ranchera', 'regional mexican', 'regional mexican pop']"
12429,Julio Sagreras,[]
12430,Julio Voltio,"['latin', 'latin hip hop', 'reggaeton', 'tropical']"
12431,Julissa,"['adoracion', 'latin christian', 'latin worship', 'rap cristiano']"
12432,Julius Aston,['focus']
12433,Julius Baker,['classical flute']
12434,Julius Grossman,[]
12435,Julius LaRosa,['swing italiano']
12436,Julius Patzak,['classical tenor']
12437,Julius Pruwer,[]
12438,Jully Black,['canadian pop']
12439,July Mateo Rasputin,['merengue']
12440,Jumbo,[]
12441,Jump Start Your Heart,[]
12442,"Jump, Little Children",['south carolina indie']
12443,Jun Reyes,[]
12444,June Carter Cash,[]
12445,June Christy,"['adult standards', 'lounge', 'torch song', 'vocal jazz']"
12446,June Marieezy,"['alternative r&b', 'pinoy r&b']"
12447,June Tabor,"['british folk', 'folk rock', 'traditional british folk']"
12448,Jung In,['korean pop']
12449,Jungle,"['indie soul', 'indietronica', 'uk contemporary r&b']"
12450,Jungle Brothers,"['alternative hip hop', 'east coast hip hop', 'electro', 'hardcore hip hop', 'hip hop', 'hip house', 'jazz rap', 'old school hip hop', 'rap', 'turntablism']"
12451,Juni Tinley,"['atmosphere', 'background music', 'focus']"
12452,Junichi Sakamoto,[]
12453,Junior,['corridos tumbados']
12454,Junior & Jorge,"['bachata', 'latin']"
12455,Junior Brown,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']"
12456,Junior Byles,"['dub', 'lovers rock', 'reggae', 'rock steady', 'roots reggae']"
12457,Junior Gonzalez,"['salsa', 'salsa international']"
12458,Junior H,['corridos tumbados']
12459,Junior Jack,['smooth jazz']
12460,Junior Kelly,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']"
12461,Junior Kimbrough,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'punk blues', 'traditional blues']"
12462,Junior Klan,"['chunchaca', 'cumbia', 'cumbia sonidera', 'grupera']"
12463,Junior M.A.F.I.A.,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'rap']"
12464,Junior Mance,"['soul jazz', 'stride']"
12465,Junior Murvin,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']"
12466,Junior Parker,['disco']
12467,Junior Reid,"['dub', 'lovers rock', 'modern reggae', 'old school dancehall', 'reggae', 'reggae fusion', 'roots reggae']"
12468,Junior Senior,['danish pop']
12469,Junior Vasquez,"['tribal house', 'vocal house']"
12470,Junior Wells,"['blues', 'chicago blues', 'electric blues', 'harmonica blues', 'memphis blues', 'traditional blues']"
12471,Junior Wells' Chicago Blues Band,['blues']
12472,Junip,"['stomp and holler', 'swedish indie rock']"
12473,Junkie Ravher,[]
12474,Junkie XL,"['big beat', 'soundtrack']"
12475,Junko Ohashi,"['future funk', 'japanese city pop', 'kayokyoku']"
12476,Junkyard,"['glam metal', 'hard rock', 'sleaze rock']"
12477,Junmai,[]
12478,Jupiter Coyote,[]
12479,Jupiter Grains,['atmosphere']
12480,Jupither,[]
12481,Jurassic 5,"['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'turntablism']"
12482,Jussi Björling,"['classical tenor', 'komedi', 'opera']"
12483,Just A Gent,"['aussietronica', 'bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'electropop', 'pop edm', 'vapor soul', 'vapor twitch']"
12484,Just Surrender,"['neon pop punk', 'pop emo', 'pop punk', 'screamo']"
12485,Just-Ice,"['east coast hip hop', 'electro', 'hip hop', 'hip house', 'old school hip hop']"
12486,Justi Barreto,[]
12487,Justice,['post-teen pop']
12488,Justice & Jarvis,[]
12489,Justin Adams,['redneck']
12490,Justin Bieber,"['canadian pop', 'pop', 'post-teen pop']"
12491,Justin Bohon,['show tunes']
12492,Justin Caruso,"['edm', 'pop edm']"
12493,Justin Hayward,['classic uk pop']
12494,Justin Hinds & The Dominoes,"['reggae', 'rock steady', 'ska', 'ska revival']"
12495,Justin Hurwitz,"['hollywood', 'movie tunes']"
12496,Justin Jesso,['indie cafe pop']
12497,Justin Johnson,[]
12498,Justin McBride,"['oklahoma country', 'redneck']"
12499,Justin Moore,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
12500,Justin Nozuka,"['acoustic pop', 'canadian pop', 'neo mellow']"
12501,Justin Quiles,"['latin', 'reggaeton']"
12502,Justin Rarri,"['melodic rap', 'vapor trap']"
12503,Justin Stone,"['deep underground hip hop', 'indie pop rap', 'pop rap']"
12504,Justin Timberlake,"['dance pop', 'pop']"
12505,Justin Townes Earle,"['alternative country', 'country rock', 'deep new americana', 'folk', 'funk', 'indie folk', 'nashville americana', 'new americana', 'progressive bluegrass', 'roots americana', 'roots rock', 'stomp and holler', 'traditional folk']"
12506,Justin Tubb,['classic country pop']
12507,Justin Vernon,['eau claire indie']
12508,Justine Skye,"['alternative r&b', 'deep pop r&b', 'indie r&b', 'urban contemporary']"
12509,Justo Betancourt,"['latin jazz', 'salsa', 'salsa international']"
12510,Juthika Roy,[]
12511,Jutta Hipp,"['german jazz', 'hard bop']"
12512,Jutta Hipp Quintet,[]
12513,Jutta Vulpius,[]
12514,Juvenile,"['bounce', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'new orleans rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
12515,"Juvenile, Wacko, & Skip",[]
12516,Jyoti,"['desi pop', 'modern bollywood']"
12517,Jyotsna Bhole,[]
12518,János Fehérvári,[]
12519,János Keveházi,[]
12520,János Rolla,[]
12521,János Starker,['classical cello']
12522,Jóhann Jóhannsson,"['bow pop', 'compositional ambient', 'focus', 'icelandic classical', 'icelandic experimental', 'nordic soundtrack', 'soundtrack']"
12523,Jónsi,"['compositional ambient', 'icelandic pop', 'post-rock']"
12524,Jósean Log,['mexican indie']
12525,Józef Gatysik,['focus']
12526,József Moldvay,[]
12527,K CAMP,"['atl hip hop', 'deep pop r&b', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
12528,K Dutta,[]
12529,K Mullick,[]
12530,K'Jon,[]
12531,K'NAAN,[]
12532,K-391,"['gaming edm', 'nordic house']"
12533,K-Ci,"['dance pop', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
12534,K-Ci & JoJo,"['dance pop', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
12535,K-Ci Hailey,[]
12536,K-Dee,['classic uk pop']
12537,K-Klass,[]
12538,K-Paz De La Sierra,"['banda', 'cumbia', 'duranguense', 'grupera', 'norteno', 'regional mexican']"
12539,K-Rino,['dirty texas rap']
12540,K-Solo,[]
12541,K. B. Sundarambal,"['carnatic vocal', 'indian classical']"
12542,K. C. Goel,[]
12543,K. C. Varma,[]
12544,K. Frimpong,"['afro psych', 'highlife']"
12545,K. Glaouzos,[]
12546,K. J. Yesudas,"['deep indian pop', 'filmi', 'mollywood']"
12547,K. L. Saigal,"['classic bollywood', 'filmi', 'ghazal']"
12548,K. Michelle,"['dance pop', 'deep pop r&b', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']"
12549,K. Mockingbird,"['native american', 'native american flute']"
12550,K. Narayan Rao,[]
12551,K. Rani,['vintage italian pop']
12552,K. Roukounas,['rebetiko']
12553,K. S. Chithra,"['deep indian pop', 'filmi', 'modern bollywood', 'tamil pop']"
12554,K. S. Ragi,[]
12555,K. Sarangkapani,[]
12556,K. V. Janaki,[]
12557,K.A.A.N.,"['deep underground hip hop', 'indie pop rap', 'underground hip hop']"
12558,K.C. Douglas,[]
12559,K.C.Dey,[]
12560,K.Flay,"['electropop', 'escape room', 'hip pop', 'indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pop', 'rock']"
12561,K.P. & Envyi,[]
12562,K.R.Ramasamy,[]
12563,K.T. Oslin,['country']
12564,K/DA,"['deep pop r&b', 'trap', 'trap soul']"
12565,K7,"['freestyle', 'hip house']"
12566,KALEO,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']"
12567,KANA-BOON,"['j-pop', 'j-rock', 'otacore']"
12568,KAROL G,"['latin', 'reggaeton']"
12569,KAYTRANADA,"['escape room', 'indie soul', 'lgbtq+ hip hop']"
12570,KB,"['christian hip hop', 'christian trap']"
12571,KC,"['disco', 'funk', 'motown', 'soft rock']"
12572,KC & The Sunshine Band,"['disco', 'funk', 'motown', 'soft rock']"
12573,KEVVO,"['perreo', 'reggaeton flow']"
12574,KEY!,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
12575,KGodd,[]
12576,KHEA,"['argentine hip hop', 'trap argentino']"
12577,KIDS SEE GHOSTS,"['hip hop', 'rap']"
12578,KING & QUEEN,[]
12579,KINGMOSTWANTED,['cali rap']
12580,KISIDA KYODAN & THE AKEBOSI ROCKETS,"['anime', 'j-pixie', 'otacore']"
12581,KISS,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']"
12582,KK,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
12583,KMD,"['alternative hip hop', 'hardcore hip hop', 'hip hop']"
12584,KMFDM,"['cyberpunk', 'ebm', 'electro-industrial', 'industrial', 'industrial metal', 'industrial rock', 'nu metal']"
12585,KOLE,['shimmer pop']
12586,KONGOS,"['modern alternative rock', 'modern blues rock', 'modern rock', 'south african rock']"
12587,KOPPS,"['gauze pop', 'rochester ny indie']"
12588,KORNDAWG,['meme rap']
12589,KQuick,[]
12590,KRS-One,"['bronx hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap']"
12591,KRYPTO9095,[]
12592,KSHMR,"['big room', 'deep big room', 'edm', 'electro house', 'indian edm', 'tropical house']"
12593,KSI,[]
12594,KT Tunstall,"['lilith', 'neo mellow', 'pop rock', 'scottish singer-songwriter']"
12595,KUČKA,['electra']
12596,KXNG Crooked,"['cali rap', 'southern hip hop']"
12597,KYLE,"['pop rap', 'rap']"
12598,Ka Piko,[]
12599,Kaash Paige,['deep pop r&b']
12600,Kabah,"['dance pop', 'grupera', 'latin', 'latin pop', 'mexican pop', 'rock en espanol']"
12601,Kabir Suman,"['bangla', 'indian folk', 'rabindra sangeet']"
12602,Kacey Musgraves,"['contemporary country', 'country dawn', 'pop', 'texas country']"
12603,Kacy Hill,"['electropop', 'indie electropop', 'indie poptimism', 'la pop', 'vapor soul']"
12604,Kadafi,[]
12605,Kadhja Bonet,"['alternative r&b', 'indie jazz', 'indie soul']"
12606,Kah-Lo,['nigerian pop']
12607,Kahoot!,['meme rap']
12608,Kai,[]
12609,Kai Ewans' Danseorkester,[]
12610,Kai Winding,"['cool jazz', 'jazz brass', 'jazz trombone', 'space age pop']"
12611,Kailash Kher,"['desi hip hop', 'desi pop', 'filmi', 'indian folk', 'modern bollywood', 'sufi']"
12612,Kailee Morgue,"['electropop', 'indie electropop', 'indie poptimism', 'indietronica', 'pop']"
12613,Kaiser Chiefs,"['alternative rock', 'dance-punk', 'modern rock', 'rock']"
12614,Kaiti Grey,['rebetiko']
12615,Kaitlin Butts,['red dirt']
12616,Kaiydo,[]
12617,Kajagoogoo,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
12618,Kajjan,[]
12619,Kajuana Shuford,[]
12620,Kaki King,['instrumental acoustic guitar']
12621,Kakia Mendri,[]
12622,Kakkia Mendri,[]
12623,Kako y Su Orquesta,[]
12624,Kala Balch,[]
12625,Kalafina,"['anime', 'anime score', 'otacore']"
12626,Kalanidhi Rathin Ghosh,[]
12627,Kalayani,[]
12628,Kaleena Zanders,[]
12629,Kaleida,"['electropop', 'metropopolis', 'vapor pop']"
12630,Kaleidoscope,"['anthem worship', 'ccm', 'christian uplift', 'indiecoustica', 'roots worship', 'world worship', 'worship']"
12631,Kalergis,[]
12632,Kali Uchis,"['colombian pop', 'pop']"
12633,Kalil,[]
12634,Kalimba,"['cumbia', 'grupera', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'pop', 'tropical']"
12635,Kalin and Myles,['teen pop']
12636,Kalinga Rao,[]
12637,Kalman Bloch,[]
12638,Kalyanam Raghuramaiah,[]
12639,Kalyani,[]
12640,Kalyanji Virji Shah,[]
12641,Kalyanji-Anandji,"['classic bollywood', 'filmi']"
12642,Kamaiyah,"['cali rap', 'west coast trap']"
12643,Kamal Barot,['classic bollywood']
12644,Kamal Dasgupta,[]
12645,Kamala,[]
12646,Kamala Bai,[]
12647,Kamala Basu,[]
12648,Kamala Chandrababu,[]
12649,Kamala Jharia,[]
12650,Kamala Pattadar,[]
12651,Kamehameha Schools Children's Chorus,['movie tunes']
12652,Kamelot,"['gothic symphonic metal', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']"
12653,Kameron Marlowe,[]
12654,Kamikazee,"['classic opm', 'opm', 'pinoy pop punk', 'pinoy rock']"
12655,Kamil,['meme rap']
12656,Kamiyada+,"['dark trap', 'emo rap', 'scream rap', 'underground hip hop', 'vapor trap']"
12657,"Kammerorchester ""Carl Philipp Emanuel Bach""",[]
12658,Kanaiya,[]
12659,Kanak Das,[]
12660,Kanak Das Biswas,[]
12661,Kanako,[]
12662,Kanales,"['corrido', 'corridos tumbados', 'regional mexican pop']"
12663,Kanan Devi,"['classic bollywood', 'filmi']"
12664,Kanchan,"['chutney', 'filmi']"
12665,Kanchanamala,[]
12666,Kandi,[]
12667,Kandi Girl,[]
12668,Kane & Abel,"['bounce', 'dirty south rap', 'new orleans rap']"
12669,Kane Brown,"['contemporary country', 'country road']"
12670,Kanika Banerjee,"['bangla', 'indian folk']"
12671,Kankick,"['alternative hip hop', 'chillhop', 'jazz boom bap']"
12672,Kano,"['grime', 'uk alternative hip hop', 'uk hip hop']"
12673,Kanon Orchestre de Chambre,[]
12674,Kansas,"['album rock', 'art rock', 'bow pop', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
12675,Kantilal,[]
12676,Kantina 27,['punk rock italiano']
